ax,ay,az
16356,-1816,528
17228,-1684,804
16524,-1668,112
16344,-1644,588
16592,-1896,472
16276,-2028,528
16680,-1768,396
16700,-1628,564
16432,-1732,580
16292,-1892,400
16936,-1920,512
16748,-2124,712
16588,-1696,612
16360,-1608,344
16648,-1904,836
16804,-1640,768
16464,-1808,540
16240,-1840,496
16420,-1900,836
16464,-1524,248
16260,-1808,628
16400,-1736,396
16276,-2116,996
16912,-1760,596
16828,-1764,576
16664,-1832,692
16404,-1608,480
16636,-1760,820
16540,-1524,440
16172,-1760,408
16588,-1888,640
16664,-1680,712
16588,-1812,732
16604,-1440,412
16840,-1796,748
16272,-1600,564
16340,-1724,848
16660,-1928,856
16588,-1800,416
16564,-1672,704
16596,-1656,444
16456,-1608,900
16792,-1760,900
16692,-1072,-448
17380,-3096,1000
14716,-3824,612
14736,-3844,776
14880,-2456,860
14304,-2400,468
15408,-1500,296
17536,-1524,688
21992,-1932,1992
26864,-2680,3536
26796,-1116,1356
25276,-1864,1860
19836,180,1156
17600,1476,1616
8544,-1772,8
6648,-364,-1984
3308,-224,-4908
5440,28,-1680
4036,-1840,-2420
11336,-2032,-2632
9184,-2740,-3860
17376,-4204,-528
18840,-2004,1264
22300,468,2072
21492,-4092,1452
21884,-1528,2008
23172,-1760,3992
20232,-660,1456
18440,-276,1364
17732,-1620,1068
16172,-496,1132
16460,-1208,1656
16152,-604,844
15940,-1092,1348
15856,-1180,1456
15692,-1272,1124
16192,-1784,1356
17188,-964,1756
16868,-1012,1568
17004,-496,1048
16868,-612,1704
16608,-1180,1096
16676,-304,1548
16444,-960,1528
16348,-900,1432
16204,-1288,1772
16304,-1244,1348
16568,-1104,1340
16288,-1440,2032
16224,-968,1296
16440,-1164,1288
16560,-1092,1676
16540,-1136,1400
16428,-868,1288
16064,-1428,1948
16568,-1144,1536
16216,-684,1312
16864,-428,1572
16556,-728,1300
16052,-888,1508
16088,-984,1032
16380,-632,1092
15984,-312,468
15840,-428,792
16384,-588,1704
16772,-640,2348
17540,-512,3128
16604,-532,2448
16884,-660,2252
16080,-524,2136
16708,-496,1932
16436,-784,2596
16588,-516,2652
16740,-428,2888
16124,-624,2020
16312,-600,2092
16252,-628,1568
16192,-404,1148
16484,-792,1480
16264,-800,2188
16732,-816,1740
16428,-884,1120
16116,-1412,1788
16716,-840,1444
16120,-1136,1476
16636,-856,1072
16492,-1144,1568
15820,-764,1120
16328,-1060,1136
16464,-576,1536
16440,-892,1464
16340,-564,1428
16588,-856,1116
16956,-1000,1840
16204,-1176,1340
16620,-896,1540
16472,-964,1404
16288,-836,1636
16692,-1032,1880
16340,-892,1328
16888,-1176,1604
16448,-856,1600
16512,-1048,1424
16760,-896,1532
16148,-1028,1200
16584,-1356,1428
16036,-852,912
16032,-1248,744
16480,-1116,1512
16900,-944,1356
16340,-912,976
16484,-1188,1664
16604,-1068,1648
16588,-764,1120
16460,-848,1196
16612,-920,1380
16392,-856,1260
16504,-532,1256
16712,-1008,1776
16924,-592,1544
16360,-1296,928
16828,-1052,1312
17096,-1024,1680
15984,-816,1240
16256,-1136,1524
16608,-892,1540
16436,-1072,1628
16380,-812,1332
16456,-1104,1556
16592,-740,1596
16324,-988,1464
16664,-724,1536
16348,-808,1260
16580,-936,1568
16424,-764,1320
16468,-1024,1440
16084,-544,1120
16512,-1000,1944
16620,-900,1744
16492,-760,1256
16376,-908,1456
16592,-792,1488
16644,-1024,1500
16508,-792,1332
17104,-656,1916
16748,-1080,1460
16692,-916,1476
16492,-1140,1316
16600,-952,1396
16320,-944,1184
16552,-560,1212
16436,-616,1356
16528,-724,1352
16752,-796,1532
16316,-852,1388
16688,-864,1160
16376,-872,1600
16644,-656,1320
16456,-876,1376
16412,-836,1364
16616,-916,1296
