ax,ay,az
19340,-4044,3328
18608,-5528,2088
7932,728,-88
18960,-1988,516
14636,-3940,-2064
12716,-6332,-352
13472,-6852,-2036
15484,-2916,-2744
14496,-2480,1632
18940,-1928,-1952
18112,-3204,2080
18252,1504,-4232
15196,-3300,-4264
16392,-2888,-3576
15476,-3304,-2944
15792,-444,-928
15392,-2216,4
16604,-1724,2268
15384,-1036,1572
15968,-1484,2280
16876,-1732,2936
17884,-1400,3064
14052,-3644,-876
18236,-1572,-1632
16064,408,-60
16840,-3168,1388
17684,268,-796
15236,-3264,-2340
18800,-3996,-4128
15440,-3920,-2408
18660,-4000,-1696
15396,-2456,-2368
16824,-2604,-1472
16568,-1544,-4500
20648,-1360,-384
22924,-1840,1528
21256,-328,2036
19268,-1220,816
18204,-1048,584
16792,-2888,-1080
15572,-2276,-288
15528,-1848,-2420
13268,-1220,-876
13948,-1128,-2296
14120,-2292,-3656
15036,-2304,-3356
15052,-1436,-1212
14388,-212,-4280
13784,-1932,-2260
13892,-1632,-2240
13524,-2228,-2032
13076,-1844,-2668
11528,-2928,-2612
13916,-3608,-136
16560,-2324,-612
20032,136,-2764
21892,-1128,-1292
22080,-1000,3968
21108,-672,2508
18216,-1684,1648
17304,348,2924
18016,880,3828
15860,-1244,2700
18468,84,3244
18196,-868,1760
18056,-656,1160
16120,-1732,-1668
16008,-2760,1228
16212,-2144,1320
16420,-1616,2856
15148,1204,4556
15088,-660,3628
16440,-316,3740
14676,728,2148
15072,-4620,5308
16804,-740,3452
17260,-920,4248
16256,-48,2344
17480,-856,2920
20988,320,2652
21788,1864,1812
17996,-448,-724
17616,-5448,2376
16044,-2472,-1168
17116,-1796,-672
13536,-2008,-764
14328,-2232,-824
13916,-1740,-1008
14140,-2852,-1692
14528,-2172,520
15340,-1856,556
15868,-2548,2060
14272,556,24
19420,-4224,2344
16476,-840,348
15788,-2424,-1904
16452,-2464,684
15880,-1708,-4356
16620,-2612,-1028
16796,-2408,-4880
15728,-2104,-2228
17168,-2364,-2828
16380,-2612,-1400
16632,-2976,-2400
16048,-2600,-2088
16220,-2432,-2824
16860,-1280,-1748
15956,-1612,-876
14980,-1756,-796
13060,-1780,-1424
11652,-1612,-3852
14544,-2196,-1868
15548,-1332,240
20900,1772,1608
17360,680,-2536
18388,-3748,804
20076,-416,1480
18352,-840,384
17548,-1784,268
17784,-4,668
17804,-1540,1324
16824,-436,952
17328,-476,1088
16460,-348,796
16576,-164,1268
16560,-512,1484
16392,-376,1268
16400,-756,1416
16456,-304,1400
16200,-224,1800
16068,104,1008
16432,168,1024
16068,-572,2556
16420,-136,1748
16508,-240,1940
16460,128,1564
18420,-576,844
16904,-2424,308
16612,-368,-112
16328,-612,1924
16576,816,1144
20844,-2900,-1760
17768,868,604
17364,1100,1104
16692,-1208,2448
17500,-712,2644
17600,-1488,4216
18124,-568,1720
18132,-1628,4324
14680,-3388,-2744
15268,-3000,-136
16120,-3208,2368
15016,-2396,-224
15692,-3240,12
15556,-1964,-308
16120,-2656,44
15520,-2672,-316
16152,-2184,-604
15864,-1852,-768
15536,-1812,-1416
15664,-1624,-1476
16272,-1972,-728
16356,-1460,-1960
16136,-2200,-1304
16040,-2476,-1352
16344,-2204,-1516
16376,-3096,-652
16668,-2264,-2048
16808,-2116,-828
16696,-2260,-1772
16780,-1624,-1424
16504,-2028,-1984
16516,-2040,-1412
16128,-2136,-1180
16552,-2244,-772
16428,-2572,-2008
16776,-2532,-1052
16728,-2488,-1964
16936,-2328,-716
16532,-2472,-1572
16708,-2288,-1128
16748,-2364,-816
16312,-1808,-508
15572,-1728,-204
15120,-720,1764
15284,-1264,2860
17788,-3232,3032
16488,-1908,-1660
17880,-628,712
16620,-1160,-2892
15400,-416,-156
16572,-3712,12
13684,-324,-2332
15784,-2204,-2956
13656,-1400,-2836
16292,-1116,-2432
18668,420,-232
17256,-1772,-3192
15932,-1284,368
18872,-160,1140
17280,896,-372
17384,404,1084
18024,1492,308
18728,2484,-444
17948,-684,1992
16288,716,396
15324,-1092,1784
16196,-568,1904
16456,568,1240
17304,748,2520
18088,1692,3580
17472,912,4000
17072,932,3344
16924,1824,3164
16548,1384,3944
16460,680,2928
17036,1188,3132
16044,1484,2996
16596,16,2184
16268,-112,2132
16564,-320,1880
16724,-756,1444
17208,-680,332
19212,-16,-1456
17048,-480,-204
17020,-784,240
18248,676,-88
17344,-804,-292
17140,-1164,-4
17020,-1296,324
17060,24,0
16136,-1852,-80
17048,-1288,-64
17104,-2084,288
16228,-2396,-824
16128,-2308,-1152
16116,-2220,-712
15540,-1740,-28
16044,-1252,-1676
13116,548,-3840
14204,108,-888
13556,400,-1732
15120,264,-2648
15484,976,-2268
14428,1084,-1956
16728,1484,256
16732,-140,-1380
17656,728,-636
17816,-1212,240
18392,364,-348
18820,-240,468
20364,-428,-416
20068,-1292,1312
19764,-868,160
18304,-3500,516
18512,-3416,956
18280,-3812,608
17824,-2612,768
18036,-2528,488
16412,-1744,848
15884,-3276,836
15092,-2052,-532
15912,-2756,12
14740,-3260,-1324
15840,-2216,-296
14788,-3448,-2364
13984,-2988,-2160
14020,-2332,-2800
13368,-2528,-1984
13416,-8,-2816
15688,916,-2924
14492,188,-2972
15868,592,-728
15464,-68,-2132
16396,-92,216
17352,892,-2052
17464,272,-960
17368,364,-1320
17028,-352,680
17916,100,-2568
17820,756,780
17972,1072,-532
19616,-524,2184
19984,1248,-660
18684,-1356,2588
18112,-9988,4464
18304,-5104,1752
18172,-2500,1008
18768,-1932,540
17728,-1824,512
15956,-3148,-1180
17148,-4364,2084
16896,-3652,-164
15732,-2912,-116
15696,-1740,20
14404,-2848,-364
13976,-3180,-1056
14740,-3904,1072
13208,-2128,-2816
14292,-2828,72
13468,-1196,-2256
14692,1028,-3436
13428,-1420,-1792
15860,612,-908
16032,592,-2188
16800,1052,-1352
16660,-372,-3416
17908,-736,44
18508,-2344,-1652
17908,-1428,-1040
17544,-788,-1952
16464,224,-2164
18488,-988,756
17516,-1492,2244
19380,-2656,4252
18600,-1168,1648
17392,-6064,3052
17912,-4796,2056
18652,-4436,2744
17784,-2468,-420
17652,-2068,692
18684,-2828,784
16384,-3536,1112
17600,-2100,1240
15376,-2016,968
