ax,ay,az
16776,-1948,552
16460,-1788,488
16360,-1780,568
16532,-1656,724
16324,-1560,508
17000,-1756,1224
16640,-1736,620
16856,-1924,488
16620,-1532,760
16512,-1476,844
16568,-1656,1068
16628,-1644,800
16704,-1684,648
16532,-1884,488
16312,-1916,1040
16452,-1744,552
16084,-1684,656
16572,-1780,500
16776,-1868,468
16812,-1760,712
16684,-1440,1428
16796,-1536,944
16336,-1604,524
16384,-1528,680
16236,-1452,796
16760,-1792,568
16732,-1980,1028
16484,-1776,648
16640,-1704,728
16536,-1604,916
16392,-1520,1092
16508,-2052,852
16448,-1752,648
16468,-1828,712
16468,-1716,880
16744,-1788,916
16536,-1532,960
16408,-1464,564
16564,-1548,428
16328,-1800,916
16384,-1664,664
16196,-1632,828
16920,-1880,1368
17192,-2080,500
16256,-1712,1092
16188,-1352,728
16316,-1576,448
16468,-1656,452
16472,-1444,1196
16496,-1732,684
16840,-1844,60
16544,-1720,1096
16296,-1640,860
16344,-1792,792
16520,-1704,908
16632,-1824,948
16636,-1964,732
16772,-1804,972
16396,-1452,960
16024,-1512,616
16436,-1528,868
16052,-1376,780
16436,-1692,872
17264,-2136,656
17236,-2052,928
16980,-1644,1400
16456,-1592,640
16424,-1688,916
16272,-1476,1068
16268,-1568,852
16776,-1892,928
16856,-1816,1072
16412,-1668,816
16216,-1548,736
16228,-1656,252
16168,-1716,1164
16380,-1808,620
17036,-2164,880
16732,-1900,1044
16796,-1764,1560
16764,-1744,504
16524,-1852,624
16204,-1260,1084
16208,-1232,788
16376,-1444,672
16248,-1920,672
16632,-1648,916
16496,-1844,752
16344,-1584,688
16608,-1804,1024
16600,-1536,992
16700,-1684,1404
16656,-1780,896
16280,-1760,492
16508,-1540,472
16540,-1876,944
16852,-1740,1084
16840,-1724,1108
16396,-1724,1064
16376,-1492,604
16360,-1684,1168
16508,-1588,980
16508,-1592,1044
16472,-1864,1052
16292,-1852,828
16316,-2012,868
16300,-1832,1008
16528,-1768,1168
16528,-1632,860
16464,-1724,696
16568,-1844,1084
16580,-1688,1052
16580,-1704,1172
16728,-1976,1016
16824,-1836,960
16412,-1764,1348
16392,-2084,1360
16220,-1904,496
16396,-1752,864
16348,-1652,1272
16324,-1664,1120
16484,-1712,1152
16588,-1668,976
16652,-2036,996
16568,-1388,1148
16400,-1420,1316
16872,-1700,1352
16480,-1920,1232
16580,-2280,1372
16520,-2076,1096
16296,-1960,848
16180,-1724,968
16208,-1448,860
16328,-1512,1228
16572,-1888,1492
16584,-1892,1304
16836,-1924,1360
16488,-1648,1072
16408,-1736,968
16480,-1616,1468
16484,-1648,1512
16304,-1828,1012
16548,-1888,1044
16292,-1724,856
16540,-1720,916
16676,-1756,1568
16492,-1488,1212
16452,-1680,1316
16292,-1620,1144
16688,-1716,1524
16640,-1708,588
16340,-1744,848
16504,-1948,1376
16300,-1876,1020
16372,-1812,892
16264,-1796,1604
16292,-2084,520
16332,-2196,388
16232,-2036,972
16400,-1672,1436
16696,-1548,1216
16652,-2008,1552
16504,-2704,1396
16552,-1904,1368
16372,-1808,1340
15964,-1864,1160
15996,-816,1428
15564,-1188,868
15852,-1860,1456
16764,-1908,712
16520,-3252,640
17444,-2400,2140
16920,-2012,2516
16736,-2352,1652
16356,-2116,1748
16376,-1680,1288
16136,-1472,1832
16184,-1672,1532
16652,-1636,132
16468,-1456,1820
16852,-1580,1296
16364,-1604,2200
16680,-1348,1448
16504,-1328,968
15780,-1872,408
16152,-1692,1260
16260,-2196,256
16428,-2468,1532
16084,-1860,1636
16244,-2468,1100
16208,-2408,256
16268,-2248,352
15832,-2760,20
16780,-1428,3076
16464,-3112,1700
16196,-2188,1424
14996,-1652,848
15428,-1024,1548
16124,-1880,112
17356,-1744,-472
17300,-2888,1752
17684,-1664,1144
17176,-1356,1124
16352,-848,1896
16252,-900,104
15960,-1792,2608
15616,-1396,2840
16548,-1816,1044
16304,-2188,932
15616,-2180,1264
16252,-1736,916
15924,-1664,2512
16540,-1488,1568
16612,-2276,172
16392,-3172,-76
16768,-3336,56
17076,-3036,1268
16436,-2496,1324
16252,-1468,996
15912,-1556,1488
16272,-1540,1200
16104,-2128,372
16772,-2208,1520
17364,-2860,1008
16692,-2516,1884
15788,-1624,512
15668,-1464,1104
17156,-1932,3112
17480,-1620,1076
17520,-1724,888
16464,-1280,864
16144,-320,756
16308,-452,652
15608,-668,1336
16216,-776,2240
16084,-1300,1160
16540,-1692,684
16284,-1848,1384
17004,-1956,1844
16276,-1492,956
17064,-1772,1412
16860,-1424,2080
16912,-1392,1228
16516,-1372,2336
16216,-808,1600
